time,mmsi,ship_type,name,destination,draught,imo,call_sign,eta,pos_type,reference_point_a,reference_point_b,reference_point_c,reference_point_d
2025-03-24T13:10:35.224078+00:00,230052840,90,NESTORI,,0.0,0,OH2936,1596,1,24,24,6,10
2025-03-24T13:10:34.853378+00:00,230011590,50,PILOT L144,OULU PILOT CH67,23.0,0,OJ7253,1596,1,11,4,2,2
2025-03-24T13:10:34.819010+00:00,566042000,70,CS LEADER,EETLL,69.0,9517939,9V9350,92288,1,135,28,6,20
2025-03-24T13:10:34.243295+00:00,230990260,52,ISO-PUKKI,TURKU HARBOUR,42.0,6818863,OGVG,518529,1,8,22,4,6
2025-03-24T13:10:34.035172+00:00,230291000,90,VOIMA,HELSINKI,65.0,5383158,OHLW,666432,3,25,59,12,8
2025-03-24T13:10:33.784098+00:00,636022975,80,SLED,OPL PORT SAID,115.0,9284805,5LLH9,281920,15,157,32,16,16
2025-03-24T13:10:33.365385+00:00,276629000,52,MONTU,TALLINN,30.0,8846682,ES2108,682783,1,0,30,0,8
2025-03-24T13:10:33.032186+00:00,230713000,60,VIKING CINDERELLA,FIHEL<>FIMHQ<>SESTO,67.0,8719188,OIZS,246282,1,23,166,17,17
2025-03-24T13:10:32.728081+00:00,230110880,50,PILOT L125,VUOKALA,23.0,0,LI25,1596,1,10,5,2,2
2025-03-24T13:10:32.386725+00:00,230938210,60,REPLOT 2,GALTBY -OLOFSNAS,33.0,8634766,OF 2244,1596,3,0,0,0,0
2025-03-24T13:10:31.947134+00:00,241281000,80,HAPPY LADY,OPL TALLINN,80.0,9644225,SVBV3,237696,1,150,33,6,26
2025-03-24T13:10:31.678697+00:00,230011290,70,MT2306,FAIRWAY WORK,0.0,0,OJ7203,1596,1,15,2,3,3
2025-03-24T13:10:31.545399+00:00,248886000,80,TRANS FJELL,SEHEL,65.0,9329306,9HA2563,251136,3,73,15,7,7
2025-03-24T13:10:31.122814+00:00,230358000,70,RAUTARUUKKI,FI RAA,71.0,8418174,OJHM,251136,1,140,27,14,13
2025-03-24T13:10:31.114590+00:00,314930000,80,PEARL,FOR ORDER,115.0,9630028,8P2424,164480,1,240,60,3,43
2025-03-24T13:10:31.065088+00:00,230176400,52,BJORN,HARBOUR ASSISTANCE,50.0,9008665,OJUQ,226526,1,15,18,5,5
2025-03-24T13:10:30.586245+00:00,253377000,70,FAROMAR,HUSUM,62.0,9552070,LXFB,248896,1,93,7,7,7
2025-03-24T13:10:29.853755+00:00,258858000,80,RYSTRAUM,NOTBO,59.0,9391000,LAKN6,230144,1,103,26,15,5
2025-03-24T13:10:29.305691+00:00,230063110,33,OPTIMUS,,0.0,0,OH3810,0,1,27,20,10,7
2025-03-24T13:10:29.219762+00:00,230251000,90,KONTIO,ICEBREAKING CH 08,78.0,8518120,OIRV,842176,1,40,59,0,24
2025-03-24T13:10:29.164372+00:00,230085750,70,SINANN,FINLI,24.0,9808807,OJRU,181568,0,55,10,5,5
2025-03-24T13:10:28.275214+00:00,230697000,70,FINNECO II,FIHEL,66.0,9856842,OJTP,245982,15,116,122,12,23
2025-03-24T13:10:28.218073+00:00,230291000,90,VOIMA,HELSINKI,65.0,5383158,OHLW,666432,3,25,59,12,8
2025-03-24T13:10:27.385618+00:00,257357000,80,CHAMPION TIMUR,PORVOO,69.0,9288837,LAKA5,242752,1,154,29,21,11
2025-03-24T13:10:26.586487+00:00,230061400,51,RESCUE BJOERKSKAER,HAMNSUNDET AREA,10.0,0,OH3673,1596,15,8,4,2,2
2025-03-24T13:10:25.887248+00:00,248886000,80,TRANS FJELL,SEHEL,65.0,9329306,9HA2563,251136,3,73,15,7,7
2025-03-24T13:10:25.139759+00:00,230085710,70,BOANN,FINLI,24.0,9808792,OJRT,187392,1,50,15,4,6
2025-03-24T13:10:24.995530+00:00,230938210,60,REPLOT 2,GALTBY -OLOFSNAS,33.0,8634766,OF 2244,1596,1,0,0,0,0
2025-03-24T13:10:24.885949+00:00,230992660,54,KUMMELI,MUSTOLA,27.0,8410146,OJRP,658368,1,20,8,3,5
2025-03-24T13:10:24.603392+00:00,265732720,50,PILOT 217 SE,AREA.SVARTKLUBBEN,15.0,0,SIAP,1596,1,10,6,3,2
2025-03-24T13:10:24.266940+00:00,230713000,60,VIKING CINDERELLA,FIHEL<>FIMHQ<>SESTO,67.0,8719188,OIZS,246282,1,23,166,17,17
2025-03-24T13:10:24.118194+00:00,230987160,50,PILOT L229,,18.0,0,OJ 3089,1596,1,11,3,2,2
2025-03-24T13:10:23.309183+00:00,230290000,90,URHO,FIHEL,72.0,7347615,OHMS,366976,1,35,70,12,12
2025-03-24T13:10:22.107100+00:00,230291000,90,VOIMA,HELSINKI,65.0,5383158,OHLW,666432,3,25,59,12,8
2025-03-24T13:10:22.104308+00:00,636022975,80,SLED,OPL PORT SAID,115.0,9284805,5LLH9,281920,1,157,32,15,17
2025-03-24T13:10:21.035510+00:00,255915979,80,STEN BERGEN,FISKV,65.0,9407988,CQ2437,247040,1,114,30,8,15
2025-03-24T13:10:19.943906+00:00,230992580,60,GUDINGEN,LANGNAS<>KOKAR,37.0,7902609,OIKL,67584,1,23,25,5,5
2025-03-24T13:10:19.849278+00:00,248886000,80,TRANS FJELL,SEHEL,65.0,9329306,9HA2563,251136,3,73,15,7,7
2025-03-24T13:10:17.533176+00:00,276538000,53,LOTOS,PALJASSAARE,30.0,8846711,ES2099,752896,1,15,15,4,3
2025-03-24T13:10:17.200380+00:00,230111410,50,PILOT L117,,22.0,0,OF4183,1596,1,8,5,2,2
2025-03-24T13:10:17.161621+00:00,230168060,60,ALTERA,FI LILLMALO<->PROSTV,49.0,9915349,OJUH,622784,1,52,52,8,8
2025-03-24T13:10:16.904294+00:00,230291000,90,VOIMA,HELSINKI,65.0,5383158,OHLW,666432,3,25,59,12,8
2025-03-24T13:10:15.942675+00:00,636015170,70,STALWART,RUULU,70.0,9593476,A8ZA8,246848,1,194,36,17,21
2025-03-24T13:10:15.939976+00:00,230713000,60,VIKING CINDERELLA,FIHEL<>FIMHQ<>SESTO,67.0,8719188,OIZS,246282,3,23,166,17,17
2025-03-24T13:10:15.395580+00:00,230938210,60,REPLOT 2,GALTBY -OLOFSNAS,33.0,8634766,OF 2244,1596,1,0,0,0,0
2025-03-24T13:10:15.100931+00:00,230093090,50,PILOT L243,,15.0,0,OH6348,1596,1,13,3,2,3
2025-03-24T13:10:14.938072+00:00,230035990,60,OSTERN,KUM-ENK,35.0,0,OJ9503,617752,1,8,25,3,7
2025-03-24T13:10:14.396258+00:00,230086510,60,EMBARSUND F116,FINNHOLMA<>JYDDO,20.0,0,OH4502,674845,15,18,18,4,5
2025-03-24T13:10:12.895178+00:00,244780424,70,FRISIAN SEA,PLSZZ,62.0,9534547,PCLF,241024,1,106,12,1,12
2025-03-24T13:10:11.245985+00:00,230291000,90,VOIMA,HELSINKI,65.0,5383158,OHLW,666432,3,25,59,12,8
2025-03-24T13:10:10.697450+00:00,276432000,90,EVA-318,HUNDIPEA,10.0,0,ES2061,0,1,12,7,2,3
2025-03-24T13:10:10.141725+00:00,265505420,50,PILOT 743 SE,,0.0,0,SHNK,1596,1,11,6,1,3
2025-03-24T13:10:09.433218+00:00,314496000,70,BERKAY N,EEMUG,97.0,9524827,8PAT8,242944,1,92,13,4,16
2025-03-24T13:10:09.139325+00:00,230024490,90,KUOKKA-AKSELI 1,HELSINKI,20.0,0,OJ8522,1596,1,24,6,4,7
2025-03-24T13:10:08.169146+00:00,248886000,80,TRANS FJELL,SEHEL,65.0,9329306,9HA2563,251136,3,73,15,7,7
2025-03-24T13:10:07.407366+00:00,230289000,90,SISU,ICEBREAKER CH 13,78.0,7359656,OHMW,77184,1,35,70,12,12
2025-03-24T13:10:06.725566+00:00,230938210,60,REPLOT 2,GALTBY -OLOFSNAS,33.0,8634766,OF 2244,1596,1,0,0,0,0
2025-03-24T13:10:06.622203+00:00,305255000,80,MARALTA,GIBRALTAR FOR ORDERS,145.0,9324320,V2YI4,265664,1,189,39,24,8
2025-03-24T13:10:06.438795+00:00,230713000,60,VIKING CINDERELLA,FIHEL<>FIMHQ<>SESTO,67.0,8719188,OIZS,246282,1,23,166,17,17
2025-03-24T13:10:05.605537+00:00,230099950,50,PILOT L244,HELSINKI PILOT 71,13.0,0,OH6918,1596,1,12,4,2,3
2025-03-24T13:10:05.280671+00:00,230291000,90,VOIMA,HELSINKI,65.0,5383158,OHLW,666432,1,25,59,12,8
2025-03-24T13:10:03.890050+00:00,230155950,60,KOKKOMAA,,24.0,0,OJTA,818368,1,18,8,0,8
2025-03-24T13:10:02.286639+00:00,230629000,60,VIKING GRACE,SESTO-FIMHQ-FITKU,67.0,9606900,OJPQ,246898,1,22,196,16,16
2025-03-24T13:10:02.174865+00:00,248886000,80,TRANS FJELL,SEHEL,65.0,9329306,9HA2563,251136,3,73,15,7,7
2025-03-24T13:09:59.349244+00:00,230291000,90,VOIMA,HELSINKI,65.0,5383158,OHLW,666432,1,25,59,12,8
2025-03-24T13:09:58.833472+00:00,246846000,70,EEBORG,ESCOUMIN,72.0,9568328,PCNL,281216,1,136,9,12,4
2025-03-24T13:09:58.541487+00:00,230713000,60,VIKING CINDERELLA,FIHEL<>FIMHQ<>SESTO,67.0,8719188,OIZS,246282,3,23,166,17,17
2025-03-24T13:09:57.339977+00:00,230938210,60,REPLOT 2,GALTBY -OLOFSNAS,33.0,8634766,OF 2244,1596,1,0,0,0,0
2025-03-24T13:09:56.756589+00:00,248886000,80,TRANS FJELL,SEHEL,65.0,9329306,9HA2563,251136,3,73,15,7,7
2025-03-24T13:09:56.706251+00:00,230212000,80,AALTO,FI KOK,26.0,5422203,OITW,824384,1,34,13,5,3
2025-03-24T13:09:56.050556+00:00,374357000,70,ARINA,EEMUU,39.0,9173446,3FHC8,244672,1,80,19,8,9
2025-03-24T13:09:55.297255+00:00,230938610,60,RUDOLFINA,TURKU-AIRISTO-TURKU,30.0,8634326,OJ-2210,1596,1,6,23,5,1
2025-03-24T13:09:54.884444+00:00,255805653,70,HAVELLAND,FI RAU,62.0,9499735,CQTN,246208,1,92,18,8,9
2025-03-24T13:09:54.265108+00:00,230291000,90,VOIMA,HELSINKI,65.0,5383158,OHLW,666432,1,25,59,12,8
2025-03-24T13:09:52.441474+00:00,230983050,33,SPARK,TURKU,20.0,912974400,OG9923,595136,0,5,9,3,3
2025-03-24T13:09:51.062472+00:00,248886000,80,TRANS FJELL,SEHEL,65.0,9329306,9HA2563,251136,3,73,15,7,7
2025-03-24T13:09:50.147970+00:00,255620000,70,TORNEDALEN,FIOUL,63.0,9190808,CQCJ,246592,1,81,19,1,14
2025-03-24T13:09:49.425551+00:00,230713000,60,VIKING CINDERELLA,FIHEL<>FIMHQ<>SESTO,67.0,8719188,OIZS,246282,3,23,166,17,17
2025-03-24T13:09:49.232750+00:00,230291000,90,VOIMA,HELSINKI,65.0,5383158,OHLW,666432,1,25,59,12,8
2025-03-24T13:09:48.478442+00:00,230938210,60,REPLOT 2,GALTBY -OLOFSNAS,33.0,8634766,OF 2244,1596,1,0,0,0,0
2025-03-24T13:09:46.521432+00:00,230099160,51,KRICKAN,,8.0,0,OH6852,1596,1,6,5,3,1
2025-03-24T13:09:46.045582+00:00,248886000,80,TRANS FJELL,SEHEL,65.0,9329306,9HA2563,251136,3,73,15,7,7
2025-03-24T13:09:45.734100+00:00,667002369,80,DENEB,GULF OF FINLAND,94.0,9301524,9LS2072,244992,15,231,43,24,24
2025-03-24T13:09:45.686097+00:00,276835000,52,TORVIK,EEPAS,36.0,0,ESKW,211776,1,7,13,3,3
2025-03-24T13:09:45.591720+00:00,636022975,80,SLED,OPL PORT SAID,115.0,9284805,5LLH9,281920,15,157,32,16,16
2025-03-24T13:09:43.844543+00:00,230943350,60,TUULI,KUMLINGE-ENKLINGE,22.0,8962369,OH5260,323132,15,14,14,2,6
2025-03-24T13:09:43.600109+00:00,230981770,50,PILOT L 226,,19.0,0,OG9644,1596,0,10,5,2,2
2025-03-24T13:09:43.400279+00:00,230291000,90,VOIMA,HELSINKI,65.0,5383158,OHLW,666432,1,25,59,12,8
2025-03-24T13:09:43.398150+00:00,230151230,60,BJORKO,LAPPO,0.0,0,OH4501,67649,1,13,13,6,1
2025-03-24T13:09:42.565801+00:00,265732740,50,PILOT 219 SE,PILOT KAPELLSKAR,15.0,0,SIMU,1596,1,10,6,3,2
2025-03-24T13:09:42.145289+00:00,304201000,80,SUNRISE,FOR ORDERS,70.0,9279719,V2YC7,242240,1,147,33,19,13
2025-03-24T13:09:41.461653+00:00,230025470,90,MT1322,FAIRWAY WORKS,10.0,0,OJ8640,445421,1,9,3,3,1
2025-03-24T13:09:41.225646+00:00,305654000,70,ALEXANDER B,FIKTK,73.0,9328649,V2FE7,244224,1,140,14,12,12
2025-03-24T13:09:40.569566+00:00,636024670,70,STAR PISCES,RU LED,70.0,9715854,5LTT2,247872,1,169,29,12,20
2025-03-24T13:09:40.566507+00:00,230713000,60,VIKING CINDERELLA,FIHEL<>FIMHQ<>SESTO,67.0,8719188,OIZS,246282,3,23,166,17,17
2025-03-24T13:09:40.198985+00:00,248886000,80,TRANS FJELL,SEHEL,65.0,9329306,9HA2563,251136,3,73,15,7,7
2025-03-24T13:09:39.826932+00:00,276805000,90,BOTNICA,EEVAN,77.0,9165877,ESJV,217984,1,34,63,12,12
2025-03-24T13:09:39.633882+00:00,230024000,52,AHTO,FITRY,53.0,9682435,OJQM,734208,1,17,23,6,7
