time,mmsi,ship_type,name,destination,draught,imo,call_sign,eta,pos_type,reference_point_a,reference_point_b,reference_point_c,reference_point_d
2025-03-20T11:14:20.368989+00:00,230980670,,PILOT L135,KEMI/TORNIO-PILOTING,25.0,0,OG9204,1596,0,,,,
2025-03-20T11:14:18.215915+00:00,230291000,,VOIMA,HELSINKI,65.0,5383158,OHLW,666432,1,,,,
2025-03-20T11:14:16.969759+00:00,636024002,,MINERVA VIRGO,EE TLL,80.0,9307827,5LQM3,240192,3,,,,
2025-03-20T11:14:16.859959+00:00,230938210,,REPLOT 2,GALTBY -OLOFSNAS,33.0,8634766,OF 2244,1596,3,,,,
2025-03-20T11:14:15.439832+00:00,265546940,,MERKURIUS,YXLAN-FURUSUND,36.0,0,SLEK,67584,15,,,,
2025-03-20T11:14:15.122256+00:00,230044260,,KALLE,HELSINKI,20.0,303174162,OH2167,682783,1,,,,
2025-03-20T11:14:15.046115+00:00,230168060,,ALTERA,FI LILLMALO<->PROSTV,49.0,9915349,OJUH,622784,1,,,,
2025-03-20T11:14:14.391780+00:00,230713000,,VIKING CINDERELLA,FIHEL<>FIMHQ<>SESTO,67.0,8719188,OIZS,240192,1,,,,
2025-03-20T11:14:13.479219+00:00,276837000,,AGAR,VENEBALTI,36.0,9823089,ESKX,789888,1,,,,
2025-03-20T11:14:12.918380+00:00,230938660,,LEONIE,PARGAS,22.0,5135977,OGEP,145664,1,,,,
2025-03-20T11:14:12.886130+00:00,265411000,,SCA OBBOLA,HOLMSUND,58.0,9087350,SEBR,238080,1,,,,
2025-03-20T11:14:12.793946+00:00,246000000,,BORE WIND,FIRAU,56.0,9892901,PFMB,239833,1,,,,
2025-03-20T11:14:12.668369+00:00,352003744,,NILE,RUULU,80.0,9280586,3E5845,238848,15,,,,
2025-03-20T11:14:12.382410+00:00,210340000,,ARABELLA,OULU,71.0,9909247,5BXD5,233856,1,,,,
2025-03-20T11:14:12.107511+00:00,230291000,,VOIMA,HELSINKI,65.0,5383158,OHLW,666432,1,,,,
2025-03-20T11:14:12.043537+00:00,230125940,,PILOT L140,,20.0,0,OJ-3546,1596,0,,,,
2025-03-20T11:14:11.887432+00:00,255806452,,NORDIC ISTRIA,HELSINKI,69.0,9474383,CQEP9,237824,1,,,,
2025-03-20T11:14:11.621056+00:00,230068740,,TYRSKY,SAVONLINNA,35.0,8669826,OJQP,849920,1,,,,
2025-03-20T11:14:11.262726+00:00,230356000,,LINJA,VAASA,28.0,8713732,OIRZ,1596,1,,,,
2025-03-20T11:14:11.169119+00:00,230601000,,AURA,SEA TRIAL AIRISTO,37.0,9395276,OJMS,238144,1,,,,
2025-03-20T11:14:11.136122+00:00,245267000,,LADY MONIQUE,PLSZZ,64.0,9904352,PCMC,240768,1,,,,
2025-03-20T11:14:09.043233+00:00,230961000,,POLARIS,RAUMA,49.0,6411421,OJLC,211934,1,,,,
2025-03-20T11:14:09.029244+00:00,636019971,,KILIAN OLDENDORFF,FITHK,146.0,9863089,D5XA8,240320,1,,,,
2025-03-20T11:14:07.174060+00:00,230938210,,REPLOT 2,GALTBY -OLOFSNAS,33.0,8634766,OF 2244,1596,1,,,,
2025-03-20T11:14:06.564893+00:00,574005550,,LEOPARD,TALLIN OPL FOR ORDER,85.0,9284594,XVKF7,1596,1,,,,
2025-03-20T11:14:06.311582+00:00,230993760,,KUHA,LAPPO,20.0,0,OF-2451,222302,0,,,,
2025-03-20T11:14:06.017301+00:00,230991258,,TEKLA I,,0.0,0,OIRR,67649,15,,,,
2025-03-20T11:14:05.705607+00:00,256757000,,HELLAS AVATAR,RU PRI,74.0,9722613,9HA3998,239617,1,,,,
2025-03-20T11:14:05.423561+00:00,276143000,,KINDRAL KURVITS,PATROL,44.0,9588770,ESY2101,1596,1,,,,
2025-03-20T11:14:05.144403+00:00,273414540,,MILENA,RU ULU,57.0,9327322,UHFB,240320,1,,,,
2025-03-20T11:14:04.939618+00:00,636093252,,MV MALAMIR,RULED,69.0,9555151,5LMH2,230720,1,,,,
2025-03-20T11:14:04.876458+00:00,230938560,,ARIES,HARBOUR TUG CH12,41.0,9154892,OJMK,830784,1,,,,
2025-03-20T11:14:04.645800+00:00,246125000,,STEENBANK,ROSTOCK,61.0,9313876,PHDG,242782,1,,,,
2025-03-20T11:14:04.377629+00:00,230138770,,HARALD        ,DK CPH,20.0,0,OJSP,290816,1,,,,
2025-03-20T11:14:04.112569+00:00,230713000,,VIKING CINDERELLA,FIHEL<>FIMHQ<>SESTO,67.0,8719188,OIZS,240192,3,,,,
2025-03-20T11:14:03.922668+00:00,241932000,,AKRISIOS,RUPRI,80.0,9953456,SVDX7,238272,15,,,,
2025-03-20T11:14:01.840685+00:00,265411000,,SCA OBBOLA,HOLMSUND,58.0,9087350,SEBR,238080,3,,,,
2025-03-20T11:14:01.746150+00:00,230145760,,DUNKER,PORT T0WAGE,50.0,8701014,OJSU,145600,1,,,,
2025-03-20T11:13:59.482019+00:00,230291000,,VOIMA,HELSINKI,65.0,5383158,OHLW,666432,3,,,,
2025-03-20T11:13:59.404718+00:00,636023670,,SEA LA DONNA,NLVLI,110.0,9380532,5LOV6,249024,15,,,,
2025-03-20T11:13:58.669137+00:00,667002403,,CARUZO,RU ULU,87.0,9137648,9LS2106,223680,1,,,,
2025-03-20T11:13:57.951465+00:00,636022671,,MAYFAIR SPIRIT,RU ULU,103.0,9476460,5LJX3,238720,1,,,,
2025-03-20T11:13:57.659121+00:00,230938210,,REPLOT 2,GALTBY -OLOFSNAS,33.0,8634766,OF 2244,1596,1,,,,
2025-03-20T11:13:56.264125+00:00,230060890,,PILOT L150,ORRENGRUND,24.0,0,OH3640,1596,1,,,,
2025-03-20T11:13:55.296108+00:00,538006145,,GUARDIAN,RU ULU,66.0,9714692,V7KD7,236864,1,,,,
2025-03-20T11:13:55.251889+00:00,230108490,,MERILUOTO,RIUTTU HUIKKU,41.0,8685739,OI9738,368832,3,,,,
2025-03-20T11:13:55.050674+00:00,621819066,,SURYA,FOR ORDERS,149.0,9388742,J2JY,236992,1,,,,
2025-03-20T11:13:55.016656+00:00,273618550,,VITYAZ,VYSOTSK,50.0,9879557,UBHY8,465285,15,,,,
2025-03-20T11:13:54.686882+00:00,246996000,,CATHY JO,FIKOK,40.0,9419278,PDVO,238430,1,,,,
2025-03-20T11:13:54.510788+00:00,276869000,,ATLANTIS,EE PAS,48.0,9268174,ESRQ,213504,1,,,,
2025-03-20T11:13:54.220897+00:00,230046600,,SUBSEA VIII ,MARIEHAMN,0.0,0,OH7931,555136,15,,,,
2025-03-20T11:13:54.125173+00:00,636092297,,JOHANN,FIKTK,40.0,9534298,D5HS1,236672,15,,,,
2025-03-20T11:13:53.611264+00:00,257037270,,EK-STREAM,FISKV,69.0,9808261,LAEL8,240128,1,,,,
2025-03-20T11:13:53.362303+00:00,405000306,,MV MEGHNA PRINCESS,UST-LUGA,102.0,9805776,S2BG7,842752,1,,,,
2025-03-20T11:13:53.111942+00:00,230713000,,VIKING CINDERELLA,FIHEL<>FIMHQ<>SESTO,67.0,8719188,OIZS,240192,1,,,,
2025-03-20T11:13:52.713010+00:00,230291000,,VOIMA,HELSINKI,65.0,5383158,OHLW,666432,3,,,,
2025-03-20T11:13:52.473437+00:00,265411000,,SCA OBBOLA,HOLMSUND,58.0,9087350,SEBR,238080,3,,,,
2025-03-20T11:13:51.841878+00:00,246544000,,JOLYN,FIVKO,37.0,9374686,PDVR,240000,1,,,,
2025-03-20T11:13:51.264808+00:00,230212000,,AALTO,FI KOK,26.0,5422203,OITW,824384,1,,,,
2025-03-20T11:13:51.172083+00:00,230980380,,POLLUX,OULU,35.0,0,OIOL,391552,1,,,,
2025-03-20T11:13:51.046838+00:00,256372000,,LOVELY LADY,CHINA FOR ORDERS,135.0,9960978,9HA5815,338176,1,,,,
2025-03-20T11:13:50.967599+00:00,265004000,,SILJA SYMPHONY,FI HEL,71.0,8803769,SCGB,238110,1,,,,
2025-03-20T11:13:47.823106+00:00,230642000,,FINNMILL,ROSTOCK,65.0,9212656,OJQG,240704,1,,,,
2025-03-20T11:13:47.625681+00:00,230985490,,SUOMENLINNA II,SUOMENLINNA FERRY,39.0,9315408,OJLE,67584,3,,,,
2025-03-20T11:13:47.312240+00:00,212123000,,STOC MARCIA,FI HMN  > FI PIT,49.0,9390305,C4XG2,240320,1,,,,
2025-03-20T11:13:47.197467+00:00,273348430,,TRUVOR,RUPRI ,47.0,9311543,UBEG6,804992,3,,,,
2025-03-20T11:13:46.936237+00:00,230938210,,REPLOT 2,GALTBY -OLOFSNAS,33.0,8634766,OF 2244,1596,1,,,,
2025-03-20T11:13:46.844175+00:00,230291000,,VOIMA,HELSINKI,65.0,5383158,OHLW,666432,3,,,,
